日付時刻,MACアドレス,ユーザーネーム,赤色情報,黄色情報,緑色情報,青色情報,白色情報,ブザー情報,WDT監視情報
2019/12/18 20:59:00,743A65FFFE4A5548,743A65FFFE4A5548,0,0,1,0,0,0,9
2019/12/18 20:59:10,743A65FFFE4A54EE,743A65FFFE4A54EE,0,2,1,0,0,0,9
2019/12/18 20:59:11,743A65FFFE4A54EE,743A65FFFE4A54EE,0,2,0,0,0,0,9
2019/12/18 20:59:12,743A65FFFE4A54EE,743A65FFFE4A54EE,0,0,0,0,0,0,9
2019/12/18 20:59:40,743A65FFFE4A5512,743A65FFFE4A5512,2,0,0,0,2,0,9
2019/12/18 20:59:41,743A65FFFE4A5512,743A65FFFE4A5512,0,0,0,0,0,0,9
2019/12/18 20:59:54,743A65FFFE4A54EE,743A65FFFE4A54EE,0,0,1,0,0,0,9
2019/12/18 21:00:27,743A65FFFE4A5506,743A65FFFE4A5506,0,0,1,0,0,0,9
2019/12/18 21:00:30,743A65FFFE4A5512,743A65FFFE4A5512,0,0,1,0,0,0,9
2019/12/18 21:01:24,743A65FFFE4A54E8,743A65FFFE4A54E8,0,1,1,0,0,0,9
2019/12/18 21:01:24,743A65FFFE4A54E8,743A65FFFE4A54E8,0,1,0,0,0,0,9
2019/12/18 21:01:27,743A65FFFE4A54E8,743A65FFFE4A54E8,0,0,0,0,0,0,9
2019/12/18 21:02:04,743A65FFFE4A54FE,743A65FFFE4A54FE,0,2,1,0,0,0,9
2019/12/18 21:02:04,743A65FFFE4A54FE,743A65FFFE4A54FE,0,2,0,0,0,0,9
2019/12/18 21:02:06,743A65FFFE4A54FE,743A65FFFE4A54FE,0,0,0,0,0,0,9
2019/12/18 21:02:10,743A65FFFE4A54E8,743A65FFFE4A54E8,0,0,1,0,0,0,9
2019/12/18 21:03:08,743A65FFFE4A54FE,743A65FFFE4A54FE,0,0,1,0,0,0,9
2019/12/18 21:03:23,743A65FFFE4A550D,743A65FFFE4A550D,0,1,1,0,0,0,9
2019/12/18 21:03:23,743A65FFFE4A550D,743A65FFFE4A550D,0,1,0,0,0,0,9
2019/12/18 21:03:25,743A65FFFE4A550D,743A65FFFE4A550D,0,0,0,0,0,0,9
2019/12/18 21:03:44,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 21:03:46,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 21:04:04,743A65FFFE4A550D,743A65FFFE4A550D,0,0,1,0,0,0,9
2019/12/18 21:04:39,743A65FFFE4A550E,743A65FFFE4A550E,0,0,0,0,0,0,9
2019/12/18 21:05:31,743A65FFFE4A550E,743A65FFFE4A550E,0,2,0,0,0,0,9
2019/12/18 21:05:32,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 21:05:32,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 21:05:34,743A65FFFE4A5572,743A65FFFE4A5572,0,1,1,0,0,0,9
2019/12/18 21:05:34,743A65FFFE4A5572,743A65FFFE4A5572,0,1,0,0,0,0,9
2019/12/18 21:05:38,743A65FFFE4A5572,743A65FFFE4A5572,0,0,0,0,0,0,9
2019/12/18 21:06:11,743A65FFFE4A5572,743A65FFFE4A5572,0,0,1,0,0,0,9
2019/12/18 21:06:19,743A65FFFE4A550E,743A65FFFE4A550E,0,1,1,0,0,0,9
2019/12/18 21:06:22,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 21:06:52,743A65FFFE4A54EA,743A65FFFE4A54EA,0,1,1,0,0,0,9
2019/12/18 21:06:52,743A65FFFE4A54EA,743A65FFFE4A54EA,0,1,0,0,0,0,9
2019/12/18 21:06:53,743A65FFFE4A54EA,743A65FFFE4A54EA,0,0,0,0,0,0,9
2019/12/18 21:07:25,743A65FFFE4A5547,743A65FFFE4A5547,0,2,1,0,0,0,9
2019/12/18 21:07:26,743A65FFFE4A5547,743A65FFFE4A5547,0,2,0,0,0,0,9
2019/12/18 21:07:34,743A65FFFE4A5547,743A65FFFE4A5547,0,0,0,0,0,0,9
2019/12/18 21:07:42,743A65FFFE4A54EA,743A65FFFE4A54EA,0,0,1,0,0,0,9
2019/12/18 21:07:49,743A65FFFE4A5571,743A65FFFE4A5571,0,1,1,0,0,0,9
2019/12/18 21:07:49,743A65FFFE4A5571,743A65FFFE4A5571,0,1,0,0,0,0,9
2019/12/18 21:07:51,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 21:07:53,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 21:07:55,743A65FFFE4A54ED,743A65FFFE4A54ED,0,1,1,0,0,0,9
2019/12/18 21:07:55,743A65FFFE4A54ED,743A65FFFE4A54ED,0,1,0,0,0,0,9
2019/12/18 21:07:58,743A65FFFE4A54ED,743A65FFFE4A54ED,0,0,0,0,0,0,9
2019/12/18 21:08:04,743A65FFFE4A5571,743A65FFFE4A5571,0,0,0,0,0,0,9
2019/12/18 21:08:13,743A65FFFE4A5510,743A65FFFE4A5510,0,1,1,0,0,0,9
2019/12/18 21:08:13,743A65FFFE4A5510,743A65FFFE4A5510,0,1,0,0,0,0,9
2019/12/18 21:08:22,743A65FFFE4A5510,743A65FFFE4A5510,0,0,0,0,0,0,9
2019/12/18 21:08:48,743A65FFFE4A5547,743A65FFFE4A5547,0,0,1,0,0,0,9
2019/12/18 21:08:50,743A65FFFE4A5571,743A65FFFE4A5571,0,0,1,0,0,0,9
2019/12/18 21:09:08,743A65FFFE4A5577,743A65FFFE4A5577,0,1,1,0,0,0,9
2019/12/18 21:09:08,743A65FFFE4A5577,743A65FFFE4A5577,0,1,0,0,0,0,9
2019/12/18 21:09:11,743A65FFFE4A5577,743A65FFFE4A5577,0,0,0,0,0,0,9
2019/12/18 21:09:34,743A65FFFE4A5510,743A65FFFE4A5510,0,0,1,0,0,0,9
2019/12/18 21:09:51,743A65FFFE4A54ED,743A65FFFE4A54ED,0,0,1,0,0,0,9
2019/12/18 21:09:55,743A65FFFE4A5577,743A65FFFE4A5577,0,0,1,0,0,0,9
2019/12/18 21:10:20,743A65FFFE4A5575,743A65FFFE4A5575,0,2,1,0,0,0,9
2019/12/18 21:10:20,743A65FFFE4A5575,743A65FFFE4A5575,0,2,0,0,0,0,9
2019/12/18 21:10:21,743A65FFFE4A5575,743A65FFFE4A5575,0,0,0,0,0,0,9
2019/12/18 21:11:05,743A65FFFE4A5575,743A65FFFE4A5575,0,0,1,0,0,0,9
2019/12/18 21:12:16,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 21:12:17,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 21:13:34,743A65FFFE4A5511,743A65FFFE4A5511,0,1,0,0,0,0,9
2019/12/18 21:13:37,743A65FFFE4A555B,743A65FFFE4A555B,0,2,1,0,0,0,9
2019/12/18 21:13:38,743A65FFFE4A555B,743A65FFFE4A555B,0,2,0,0,0,0,9
2019/12/18 21:13:38,743A65FFFE4A5511,743A65FFFE4A5511,0,0,0,0,0,0,9
2019/12/18 21:13:39,743A65FFFE4A555B,743A65FFFE4A555B,0,0,0,0,0,0,9
2019/12/18 21:13:39,743A65FFFE4A5505,743A65FFFE4A5505,0,2,1,0,0,0,9
2019/12/18 21:13:40,743A65FFFE4A5505,743A65FFFE4A5505,0,2,0,0,0,0,9
2019/12/18 21:13:41,743A65FFFE4A5505,743A65FFFE4A5505,0,0,0,0,0,0,9
2019/12/18 21:14:12,743A65FFFE4A54E4,743A65FFFE4A54E4,0,2,1,0,0,0,9
